6/12 0:56:1|ChromeMainFrame|createBrowserWindowWithListener|constructor called.
6/12 0:56:3|ChromeBrowserConfigurationSettings|EnableDisableBrowserOtions|method called.
6/12 0:56:3|ChromeBrowserConfigurationSettings|EnableDisableBrowserOtions|Enabling JavaScript feature.
6/12 0:56:3|ChromeBrowserConfigurationSettings|EnableDisableBrowserOtions|Enabling ImageDownload feature.
6/12 0:56:3|ChromeBrowserConfigurationSettings|EnableDisableBrowserOtions|Enabling Plugins feature.
6/12 0:56:3|ChromeBrowserConfigurationSettings|clearLocalStorage|Method called.
6/12 0:56:3|ChromeBrowserConfigurationSettings|setSecurityCertificationErrors|Method called.
6/12 0:56:3|ChromeMainFrame|addStatusAndTitleBrowser|Method called.
6/12 0:56:3|ChromeMainFrame|addPageNavigationListeners|method called.
6/12 0:56:3|ChromeBrowserNavigationListener|ChromeBrowserNavigationListener|Constructor Called.
6/12 0:56:3|ChromeRecordingHttpListener||constructor called.
6/12 0:56:3|ChromeMainFrame|createinitUI|constructor called.
6/12 0:56:3|TabContent|createComponents|method called.
6/12 0:56:3|TabContent|createBrowserContainer|method called.
6/12 0:56:3|TabContent|createToolBar|method called.
6/12 0:56:3|ProgressBar|initializeGUI|Method Called
6/12 0:56:3|ToolBar|createToolBarComponents|method called.
6/12 0:56:3|ToolBar|createAddressBar|method called.
6/12 0:56:3|ToolBar|createActionsPane|method called.
6/12 0:56:3|ChromeBrowserNavigationListener|onStartLoadingFrame|Method Called for URL=http://10.10.30.8:81/tours/index.html
6/12 0:56:3|ChromeBrowserNavigationListener|onStartLoadingFrame|Begin Loading URL == http://10.10.30.8:81/tours/index.html  ===== Begin = 1560324363715
6/12 0:56:3|Utils|getURLTracker|urlString = http://10.10.30.8:81/tours/index.html, requestOrResponce = snapShot
6/12 0:56:3|ChromeRecordingHttpListener|onBeforeURLRequest|method called.
6/12 0:56:3|ChromeRecordingHttpListener|dumpRequestHeaders|method called.
6/12 0:56:3|Utils|getURLTracker|urlString = http://10.10.30.8:81/tours/index.html, requestOrResponce = request
6/12 0:56:3|Utils|getRelativeTimeWithRespectOfStartRecordingTime|Method called.time stamp = 1560324363735
6/12 0:56:3|Utils|convertToSecond method called|time = 1980.0
6/12 0:56:3|Utils|isSplit|Method called.
6/12 0:56:3|Utils|isSplit|Splitting for Ajax Header = false
6/12 0:56:3|ProgressBar|setVisible|Method Called. bool = true
6/12 0:56:3|Utils|isSplit|Splitting for method GET = false
6/12 0:56:3|Utils|isSplit|result = false
6/12 0:56:3|Utils|isSplitForTimeDiff|Method called.
6/12 0:56:3|Utils|isSplit|result = false
6/12 0:56:3|Utils|isSplitForURLType|Method called.
6/12 0:56:3|Utils|isSplitForURLType|value = false
6/12 0:56:3|Utils|isSplitForURLType|value = false
6/12 0:56:3|Utils|isSplit|isSplitForURLType = false
6/12 0:56:4|Utils|getURLTracker|urlString = http://10.10.30.8:81/tours/index.html, requestOrResponce = response
6/12 0:56:4|Utils|getRelativeTimeWithRespectOfStartRecordingTime|Method called.time stamp = 1560324364641
6/12 0:56:4|Utils|convertToSecond method called|time = 2886.0
6/12 0:56:4|Utils|isSplit|Method called.
6/12 0:56:4|Utils|isSplit|Splitting for Ajax Header = false
6/12 0:56:4|Utils|isSplit|Splitting for method GET = false
6/12 0:56:4|Utils|isSplit|result = false
6/12 0:56:4|Utils|isSplitForTimeDiff|Method called.
6/12 0:56:4|Utils|isSplit|result = false
6/12 0:56:4|Utils|isSplitForURLType|Method called.
6/12 0:56:4|Utils|isSplitForURLType|value = false
6/12 0:56:4|Utils|isSplitForURLType|value = false
6/12 0:56:4|Utils|isSplitForURLType|value = false
6/12 0:56:4|Utils|isSplit|isSplitForURLType = false
6/12 0:56:4|ChromeRecordingHttpListener|checkSplitOptionAndCaptureSnapShotForResponse|Auto split option not valid for URL = http://10.10.30.8:81/tours/index.html
6/12 0:56:4|Utils|getRelativeTimeWithRespectOfStartRecordingTime|Method called.time stamp = 1560324364641
6/12 0:56:4|Utils|convertToSecond method called|time = 2886.0
6/12 0:56:4|Utils|getRelativeTimeWithRespectOfStartRecordingTime|Method called.time stamp = 1560324364641
6/12 0:56:4|Utils|convertToSecond method called|time = 2886.0
6/12 0:56:4|ChromeRecordingHttpListener|onCompleted |Adding dump diretory with path=C:\Users\HP\Desktop\recorder\scripts\default/default/Ssd_g\dump\flight_booking\10.10.30.8_81/tours/
6/12 0:56:4|ChromeRecordingHttpListener|onBeforeURLRequest|method called.
6/12 0:56:4|ChromeRecordingHttpListener|dumpRequestHeaders|method called.
6/12 0:56:4|Utils|getURLTracker|urlString = http://10.10.30.8:81/tours/Merc10-dev/images/banner_animated.gif, requestOrResponce = request
6/12 0:56:4|Utils|getRelativeTimeWithRespectOfStartRecordingTime|Method called.time stamp = 1560324364839
6/12 0:56:4|Utils|convertToSecond method called|time = 3084.0
6/12 0:56:4|Utils|isSplit|Method called.
6/12 0:56:4|Utils|isSplit|Splitting for Ajax Header = false
6/12 0:56:4|Utils|isSplit|Splitting for method GET = false
6/12 0:56:4|Utils|isSplit|result = false
6/12 0:56:4|Utils|isSplitForTimeDiff|Method called.
6/12 0:56:4|Utils|isSplit|Splitting for time 0.19799999999999995 = false
6/12 0:56:4|Utils|isSplit|result = false
6/12 0:56:4|Utils|isSplitForURLType|Method called.
6/12 0:56:4|Utils|isSplitForURLType|value = false
6/12 0:56:4|Utils|isSplitForURLType|value = false
6/12 0:56:4|Utils|isSplit|isSplitForURLType = false
6/12 0:56:4|ChromeRecordingHttpListener|onBeforeURLRequest|method called.
6/12 0:56:4|ChromeRecordingHttpListener|dumpRequestHeaders|method called.
6/12 0:56:4|Utils|getURLTracker|urlString = http://10.10.30.8:81/tours/Merc10-dev/images/sun_swede.gif, requestOrResponce = request
6/12 0:56:4|Utils|getRelativeTimeWithRespectOfStartRecordingTime|Method called.time stamp = 1560324364885
6/12 0:56:4|Utils|convertToSecond method called|time = 3130.0
6/12 0:56:4|Utils|isSplit|Method called.
6/12 0:56:4|Utils|isSplit|Splitting for Ajax Header = false
6/12 0:56:4|Utils|isSplit|Splitting for method GET = false
6/12 0:56:4|Utils|isSplit|result = false
6/12 0:56:4|Utils|isSplitForTimeDiff|Method called.
6/12 0:56:4|Utils|isSplit|Splitting for time 0.24399999999999977 = false
6/12 0:56:4|Utils|isSplit|result = false
6/12 0:56:4|Utils|isSplitForURLType|Method called.
6/12 0:56:4|Utils|isSplitForURLType|value = false
6/12 0:56:4|Utils|isSplitForURLType|value = false
6/12 0:56:4|Utils|isSplit|isSplitForURLType = false
