4/10 10:58:40|ChromeMainFrame|createBrowserWindowWithListener|constructor called.
4/10 10:58:49|ChromeBrowserConfigurationSettings|EnableDisableBrowserOtions|method called.
4/10 10:58:49|ChromeBrowserConfigurationSettings|EnableDisableBrowserOtions|Enabling JavaScript feature.
4/10 10:58:49|ChromeBrowserConfigurationSettings|EnableDisableBrowserOtions|Enabling ImageDownload feature.
4/10 10:58:49|ChromeBrowserConfigurationSettings|EnableDisableBrowserOtions|Enabling Plugins feature.
4/10 10:58:50|ChromeBrowserConfigurationSettings|clearLocalStorage|Method called.
4/10 10:58:50|ChromeBrowserConfigurationSettings|setSecurityCertificationErrors|Method called.
4/10 10:58:50|ChromeMainFrame|addStatusAndTitleBrowser|Method called.
4/10 10:58:50|ChromeMainFrame|addPageNavigationListeners|method called.
4/10 10:58:50|ChromeBrowserNavigationListener|ChromeBrowserNavigationListener|Constructor Called.
4/10 10:58:50|ChromeRecordingHttpListener||constructor called.
4/10 10:58:50|ChromeMainFrame|createinitUI|constructor called.
4/10 10:58:50|TabContent|createComponents|method called.
4/10 10:58:50|TabContent|createBrowserContainer|method called.
4/10 10:58:50|TabContent|createToolBar|method called.
4/10 10:58:50|ProgressBar|initializeGUI|Method Called
4/10 10:58:50|ToolBar|createToolBarComponents|method called.
4/10 10:58:50|ToolBar|createAddressBar|method called.
4/10 10:58:50|ToolBar|createActionsPane|method called.
4/10 10:58:50|ChromeBrowserNavigationListener|onStartLoadingFrame|Method Called for URL=http://127.0.0.1/
4/10 10:58:50|ChromeRecordingHttpListener|onBeforeURLRequest|method called.
4/10 10:58:50|ChromeBrowserNavigationListener|onStartLoadingFrame|Begin Loading URL == http://127.0.0.1/  ===== Begin = 1554874130859
4/10 10:58:50|Utils|getURLTracker|urlString = http://127.0.0.1/, requestOrResponce = snapShot
4/10 10:58:50|ChromeRecordingHttpListener|dumpRequestHeaders|method called.
4/10 10:58:50|Utils|getURLTracker|urlString = http://127.0.0.1/, requestOrResponce = request
4/10 10:58:50|Utils|getRelativeTimeWithRespectOfStartRecordingTime|Method called.time stamp = 1554874130863
4/10 10:58:50|Utils|convertToSecond method called|time = 10848.0
4/10 10:58:50|ProgressBar|setVisible|Method Called. bool = true
4/10 10:58:50|Utils|isSplit|Method called.
4/10 10:58:50|Utils|isSplit|Splitting for Ajax Header = false
4/10 10:58:50|Utils|isSplit|Splitting for method GET = false
4/10 10:58:50|Utils|isSplit|result = false
4/10 10:58:50|Utils|isSplitForTimeDiff|Method called.
4/10 10:58:50|Utils|isSplit|result = false
4/10 10:58:50|Utils|isSplitForURLType|Method called.
4/10 10:58:50|Utils|isSplitForURLType|value = false
4/10 10:58:50|Utils|isSplitForURLType|value = false
4/10 10:58:50|Utils|isSplit|isSplitForURLType = false
4/10 10:58:50|Utils|getURLTracker|urlString = http://127.0.0.1/, requestOrResponce = response
4/10 10:58:50|Utils|getRelativeTimeWithRespectOfStartRecordingTime|Method called.time stamp = 1554874130924
4/10 10:58:50|Utils|convertToSecond method called|time = 10909.0
4/10 10:58:50|Utils|isSplit|Method called.
4/10 10:58:50|Utils|isSplit|Splitting for Ajax Header = false
4/10 10:58:50|Utils|isSplit|Splitting for method GET = false
4/10 10:58:50|Utils|isSplit|result = false
4/10 10:58:50|Utils|isSplitForTimeDiff|Method called.
4/10 10:58:50|Utils|isSplit|result = false
4/10 10:58:50|Utils|isSplitForURLType|Method called.
4/10 10:58:50|Utils|isSplitForURLType|value = false
4/10 10:58:50|Utils|isSplitForURLType|value = false
4/10 10:58:50|Utils|isSplitForURLType|value = false
4/10 10:58:50|Utils|isSplit|isSplitForURLType = false
4/10 10:58:50|ChromeRecordingHttpListener|checkSplitOptionAndCaptureSnapShotForResponse|Auto split option not valid for URL = http://127.0.0.1/
4/10 10:58:50|Utils|getRelativeTimeWithRespectOfStartRecordingTime|Method called.time stamp = 1554874130924
4/10 10:58:50|Utils|convertToSecond method called|time = 10909.0
4/10 10:58:50|Utils|getRelativeTimeWithRespectOfStartRecordingTime|Method called.time stamp = 1554874130924
4/10 10:58:50|Utils|convertToSecond method called|time = 10909.0
4/10 10:58:50|ChromeRecordingHttpListener|onCompleted |Adding dump diretory with path=/home/netstorm/Desktop/recorder/scripts/default/default/TestJava/dump/flow/127.0.0.1/
