7/17 11:53:4|ChromeMainFrame|createBrowserWindowWithListener|constructor called.
7/17 11:53:20|ChromeBrowserConfigurationSettings|EnableDisableBrowserOtions|method called.
7/17 11:53:20|ChromeBrowserConfigurationSettings|EnableDisableBrowserOtions|Enabling JavaScript feature.
7/17 11:53:20|ChromeBrowserConfigurationSettings|EnableDisableBrowserOtions|Enabling ImageDownload feature.
7/17 11:53:20|ChromeBrowserConfigurationSettings|EnableDisableBrowserOtions|Enabling Plugins feature.
7/17 11:53:22|ChromeBrowserConfigurationSettings|clearLocalStorage|Method called.
7/17 11:53:22|ChromeBrowserConfigurationSettings|setSecurityCertificationErrors|Method called.
7/17 11:53:22|ChromeMainFrame|addStatusAndTitleBrowser|Method called.
7/17 11:53:22|ChromeMainFrame|addPageNavigationListeners|method called.
7/17 11:53:22|ChromeBrowserNavigationListener|ChromeBrowserNavigationListener|Constructor Called.
7/17 11:53:22|ChromeRecordingHttpListener||constructor called.
7/17 11:53:22|ChromeMainFrame|createinitUI|constructor called.
7/17 11:53:22|TabContent|createComponents|method called.
7/17 11:53:22|TabContent|createBrowserContainer|method called.
7/17 11:53:22|TabContent|createToolBar|method called.
7/17 11:53:22|ProgressBar|initializeGUI|Method Called
7/17 11:53:22|ToolBar|createToolBarComponents|method called.
7/17 11:53:22|ToolBar|createAddressBar|method called.
7/17 11:53:22|ToolBar|createActionsPane|method called.
7/17 11:53:22|Utils|getURLTracker|urlString = https://redirector.gvt1.com/edgedl/chrome/dict/en-us-8-0.bdic, requestOrResponce = response
7/17 11:53:22|Utils|getURLTracker|Response comes after the frame is loaded. urlString = https://redirector.gvt1.com/edgedl/chrome/dict/en-us-8-0.bdic
7/17 11:53:22|Utils|getRelativeTimeWithRespectOfStartRecordingTime|Method called.time stamp = 1563387802583
7/17 11:53:22|Utils|convertToSecond method called|time = 17885.0
7/17 11:53:22|Utils|isSplit|Method called.
7/17 11:53:22|Utils|isSplit|Splitting for method GET = false
