4/5 4:8:28|ChromeMainFrame|createBrowserWindowWithListener|constructor called.
4/5 4:8:38|ChromeBrowserConfigurationSettings|EnableDisableBrowserOtions|method called.
4/5 4:8:38|ChromeBrowserConfigurationSettings|EnableDisableBrowserOtions|Enabling JavaScript feature.
4/5 4:8:38|ChromeBrowserConfigurationSettings|EnableDisableBrowserOtions|Enabling ImageDownload feature.
4/5 4:8:38|ChromeBrowserConfigurationSettings|EnableDisableBrowserOtions|Enabling Plugins feature.
4/5 4:8:39|ChromeBrowserConfigurationSettings|clearLocalStorage|Method called.
4/5 4:8:39|ChromeBrowserConfigurationSettings|setSecurityCertificationErrors|Method called.
4/5 4:8:39|ChromeMainFrame|addStatusAndTitleBrowser|Method called.
4/5 4:8:39|ChromeMainFrame|addPageNavigationListeners|method called.
4/5 4:8:39|ChromeBrowserNavigationListener|ChromeBrowserNavigationListener|Constructor Called.
4/5 4:8:39|ChromeRecordingHttpListener||constructor called.
4/5 4:8:39|ChromeMainFrame|createinitUI|constructor called.
4/5 4:8:39|TabContent|createComponents|method called.
4/5 4:8:39|TabContent|createBrowserContainer|method called.
4/5 4:8:39|TabContent|createToolBar|method called.
4/5 4:8:39|ProgressBar|initializeGUI|Method Called
4/5 4:8:39|ToolBar|createToolBarComponents|method called.
4/5 4:8:39|ToolBar|createAddressBar|method called.
4/5 4:8:39|ToolBar|createActionsPane|method called.
4/5 4:8:41|ChromeBrowserNavigationListener|onStartLoadingFrame|Method Called for URL=http://10.10.30.16/
4/5 4:8:41|ChromeRecordingHttpListener|onBeforeURLRequest|method called.
4/5 4:8:41|ChromeBrowserNavigationListener|onStartLoadingFrame|Begin Loading URL == http://10.10.30.16/  ===== Begin = 1554460721685
4/5 4:8:41|Utils|getURLTracker|urlString = http://10.10.30.16/, requestOrResponce = snapShot
4/5 4:8:41|ChromeRecordingHttpListener|dumpRequestHeaders|method called.
4/5 4:8:41|Utils|getURLTracker|urlString = http://10.10.30.16/, requestOrResponce = request
4/5 4:8:41|Utils|getRelativeTimeWithRespectOfStartRecordingTime|Method called.time stamp = 1554460721690
4/5 4:8:41|Utils|convertToSecond method called|time = 13483.0
4/5 4:8:41|ProgressBar|setVisible|Method Called. bool = true
4/5 4:8:41|Utils|isSplit|Method called.
4/5 4:8:41|Utils|isSplit|Splitting for Ajax Header = false
4/5 4:8:41|Utils|isSplit|Splitting for method GET = false
4/5 4:8:41|Utils|isSplit|result = false
4/5 4:8:41|Utils|isSplitForTimeDiff|Method called.
4/5 4:8:41|Utils|isSplit|result = false
