6/12 1:5:10|ChromeMainFrame|createBrowserWindowWithListener|constructor called.
6/12 1:5:11|ChromeBrowserConfigurationSettings|EnableDisableBrowserOtions|method called.
6/12 1:5:11|ChromeBrowserConfigurationSettings|EnableDisableBrowserOtions|Enabling JavaScript feature.
6/12 1:5:11|ChromeBrowserConfigurationSettings|EnableDisableBrowserOtions|Enabling ImageDownload feature.
6/12 1:5:11|ChromeBrowserConfigurationSettings|EnableDisableBrowserOtions|Enabling Plugins feature.
6/12 1:5:11|ChromeBrowserConfigurationSettings|clearLocalStorage|Method called.
6/12 1:5:11|ChromeBrowserConfigurationSettings|setSecurityCertificationErrors|Method called.
6/12 1:5:11|ChromeMainFrame|addStatusAndTitleBrowser|Method called.
6/12 1:5:11|ChromeMainFrame|addPageNavigationListeners|method called.
6/12 1:5:11|ChromeBrowserNavigationListener|ChromeBrowserNavigationListener|Constructor Called.
6/12 1:5:11|ChromeRecordingHttpListener||constructor called.
6/12 1:5:11|ChromeMainFrame|createinitUI|constructor called.
6/12 1:5:11|TabContent|createComponents|method called.
6/12 1:5:11|TabContent|createBrowserContainer|method called.
6/12 1:5:11|TabContent|createToolBar|method called.
6/12 1:5:11|ProgressBar|initializeGUI|Method Called
6/12 1:5:11|ToolBar|createToolBarComponents|method called.
6/12 1:5:11|ToolBar|createAddressBar|method called.
6/12 1:5:11|ToolBar|createActionsPane|method called.
6/12 1:5:11|ChromeBrowserNavigationListener|onStartLoadingFrame|Method Called for URL=http://10.10.30.2:81/tours/index.html
6/12 1:5:11|ChromeRecordingHttpListener|onBeforeURLRequest|method called.
6/12 1:5:11|ChromeBrowserNavigationListener|onStartLoadingFrame|Begin Loading URL == http://10.10.30.2:81/tours/index.html  ===== Begin = 1560324911920
6/12 1:5:11|ChromeRecordingHttpListener|dumpRequestHeaders|method called.
6/12 1:5:11|Utils|getURLTracker|urlString = http://10.10.30.2:81/tours/index.html, requestOrResponce = snapShot
6/12 1:5:11|Utils|getURLTracker|urlString = http://10.10.30.2:81/tours/index.html, requestOrResponce = request
6/12 1:5:11|Utils|getRelativeTimeWithRespectOfStartRecordingTime|Method called.time stamp = 1560324911929
6/12 1:5:11|Utils|convertToSecond method called|time = 1514.0
6/12 1:5:11|Utils|isSplit|Method called.
6/12 1:5:11|ProgressBar|setVisible|Method Called. bool = true
6/12 1:5:11|Utils|isSplit|Splitting for Ajax Header = false
6/12 1:5:11|Utils|isSplit|Splitting for method GET = false
6/12 1:5:11|Utils|isSplit|result = false
6/12 1:5:11|Utils|isSplitForTimeDiff|Method called.
6/12 1:5:11|Utils|isSplit|result = false
6/12 1:5:11|Utils|isSplitForURLType|Method called.
6/12 1:5:11|Utils|isSplitForURLType|value = false
6/12 1:5:11|Utils|isSplitForURLType|value = false
6/12 1:5:11|Utils|isSplit|isSplitForURLType = false
6/12 1:5:22|Utils|getURLTracker|urlString = http://10.10.30.2:81/tours/index.html, requestOrResponce = response
6/12 1:5:22|Utils|getRelativeTimeWithRespectOfStartRecordingTime|Method called.time stamp = 1560324922138
6/12 1:5:22|Utils|convertToSecond method called|time = 11723.0
6/12 1:5:22|Utils|isSplit|Method called.
