6/12 0:57:10|ChromeMainFrame|createBrowserWindowWithListener|constructor called.
6/12 0:57:25|ChromeBrowserConfigurationSettings|EnableDisableBrowserOtions|method called.
6/12 0:57:25|ChromeBrowserConfigurationSettings|EnableDisableBrowserOtions|Enabling JavaScript feature.
6/12 0:57:25|ChromeBrowserConfigurationSettings|EnableDisableBrowserOtions|Enabling ImageDownload feature.
6/12 0:57:25|ChromeBrowserConfigurationSettings|EnableDisableBrowserOtions|Enabling Plugins feature.
6/12 0:57:26|ChromeBrowserConfigurationSettings|clearLocalStorage|Method called.
6/12 0:57:26|ChromeBrowserConfigurationSettings|setSecurityCertificationErrors|Method called.
6/12 0:57:26|ChromeMainFrame|addStatusAndTitleBrowser|Method called.
6/12 0:57:26|ChromeMainFrame|addPageNavigationListeners|method called.
6/12 0:57:26|ChromeBrowserNavigationListener|ChromeBrowserNavigationListener|Constructor Called.
6/12 0:57:26|ChromeRecordingHttpListener||constructor called.
6/12 0:57:26|ChromeMainFrame|createinitUI|constructor called.
6/12 0:57:26|TabContent|createComponents|method called.
6/12 0:57:26|TabContent|createBrowserContainer|method called.
6/12 0:57:26|TabContent|createToolBar|method called.
6/12 0:57:26|ProgressBar|initializeGUI|Method Called
6/12 0:57:26|ToolBar|createToolBarComponents|method called.
6/12 0:57:26|ToolBar|createAddressBar|method called.
6/12 0:57:26|ToolBar|createActionsPane|method called.
6/12 0:57:26|Utils|getURLTracker|urlString = https://r5---sn-ci5gup-qxa6.gvt1.com/edgedl/chrome/dict/en-us-8-0.bdic?cms_redirect=yes&mip=182.71.119.213&mm=28&mn=sn-ci5gup-qxa6&ms=nvh&mt=1560324178&mv=u&pl=24&shardbypass=yes, requestOrResponce = response
6/12 0:57:26|Utils|getURLTracker|Response comes after the frame is loaded. urlString = https://r5---sn-ci5gup-qxa6.gvt1.com/edgedl/chrome/dict/en-us-8-0.bdic?cms_redirect=yes&mip=182.71.119.213&mm=28&mn=sn-ci5gup-qxa6&ms=nvh&mt=1560324178&mv=u&pl=24&shardbypass=yes
6/12 0:57:26|Utils|getRelativeTimeWithRespectOfStartRecordingTime|Method called.time stamp = 1560324446657
6/12 0:57:26|Utils|convertToSecond method called|time = 15786.0
